City,Country,Lat,Lng,Max Temp,Pressure,Humidity,Cloudiness,Wind Speed,Date
Thompson,CA,55.7435,-97.8558,30.2,1009,69,90,14.97,1615873966
Leningradskiy,RU,69.3833,178.4167,-7.83,1013,71,33,5.32,1615873966
Vrangel',RU,42.7297,133.0839,36.84,1007,53,21,18.59,1615873967
São Filipe,CV,14.8961,-24.4956,70.32,1012,71,2,2.08,1615873967
Touros,BR,-5.1989,-35.4608,75.2,1011,88,40,3.44,1615873968
Kavieng,PG,-2.5744,150.7967,85.35,1007,66,65,6.44,1615873968
Togur,RU,58.3631,82.8265,13.14,1028,93,100,9.64,1615873968
Xichang,CN,27.8964,102.2634,75.67,1006,32,0,5.01,1615873968
Bluff,NZ,-46.6,168.3333,55.0,1017,66,90,18.99,1615873969
Albany,US,42.6001,-73.9662,19.99,1024,42,27,2.48,1615873796
Port Lincoln,AU,-34.7333,135.8667,68.85,1022,68,45,10.2,1615873969
Kieta,PG,-6.2167,155.6333,82.71,1007,72,96,3.53,1615874506
Bengkulu,ID,-3.8004,102.2655,81.16,1009,82,100,6.76,1615873970
Bathsheba,BB,13.2167,-59.5167,77.0,1014,73,40,12.66,1615874506
Sète,FR,43.4018,3.6966,50.0,1023,50,0,12.66,1615873903
Sharlyk,RU,52.9167,54.75,6.06,1036,81,61,7.85,1615873970
Mataura,NZ,-46.1927,168.8643,55.0,1017,66,76,18.99,1615873970
Hofn,IS,64.2539,-15.2082,42.3,1012,68,68,17.72,1615873971
Busselton,AU,-33.65,115.3333,80.01,1014,32,94,8.23,1615873971
Arcata,US,40.8665,-124.0828,45.0,1021,75,1,8.05,1615873971
Kutum,SD,14.2,24.6667,77.13,1009,7,35,4.81,1615873972
Seydi,TM,39.4816,62.9137,37.83,1028,46,100,15.26,1615873972
Saskylakh,RU,71.9167,114.0833,-19.89,1011,90,100,7.18,1615873972
Yunyang,CN,33.4474,112.7142,57.31,1019,28,100,13.56,1615873973
Sibolga,ID,1.7427,98.7792,83.8,1009,79,58,4.34,1615873973
Cidreira,BR,-30.1811,-50.2056,73.94,1013,83,58,13.78,1615873973
El Rosario,MX,24.2556,-107.1828,64.4,1013,63,1,3.22,1615873974
Esim,GH,4.8699,-2.2405,79.41,1009,87,40,7.63,1615874507
Jamestown,US,42.097,-79.2353,35.01,1020,34,40,9.42,1615873974
Weligama,LK,5.9667,80.4167,90.39,1011,46,3,2.04,1615873975
Sørland,NO,67.667,12.6934,26.6,1013,86,0,6.91,1615873975
Bairiki Village,KI,1.3292,172.9752,84.2,1007,74,20,10.36,1615873975
Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,1011,77,75,11.5,1615873976
Ulladulla,AU,-35.35,150.4667,71.6,1024,64,75,14.97,1615873976
Qaanaaq,GL,77.484,-69.3632,-5.4,994,58,0,6.13,1615873976
Sola,VU,-13.8833,167.55,82.2,1008,68,100,5.14,1615874508
Dingle,PH,10.9995,122.6711,89.06,1008,61,64,4.47,1615874357
Cayenne,GF,4.9333,-52.3333,79.0,1011,94,81,9.93,1615874406
Ballina,AU,-28.8667,153.5667,69.8,1019,83,75,18.41,1615873977
Cabo San Lucas,MX,22.8909,-109.9124,64.0,1013,49,0,13.29,1615873977
Beyneu,KZ,45.3167,55.2,36.45,1031,74,0,23.26,1615873977
Atuona,PF,-9.8,-139.0333,80.69,1012,74,44,14.36,1615873978
Ostrovnoy,RU,68.0531,39.5131,23.11,1006,92,93,4.52,1615873978
Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,44.01,1017,62,57,17.67,1615873978
Talavera de la Reina,ES,39.9635,-4.8308,41.27,1027,78,0,7.38,1615873979
Upernavik,GL,72.7868,-56.1549,-1.79,991,88,100,8.34,1615873979
Mareeba,AU,-17.0,145.4333,89.01,1013,71,51,5.99,1615873979
Hermanus,ZA,-34.4187,19.2345,57.99,1017,98,2,8.08,1615873980
Hobart,AU,-42.8794,147.3294,64.99,1029,39,20,12.66,1615873729
Vaini,TO,-21.2,-175.2,77.0,1011,88,75,3.98,1615874509
Nichinan,JP,31.6,131.3667,75.2,1013,50,75,23.02,1615873980
Pangody,RU,65.85,74.4859,11.68,1015,94,94,8.86,1615873980
Witbank,ZA,-25.8713,29.2332,64.6,1015,51,0,2.26,1615873981
Novyye Lyady,RU,58.0536,56.6039,19.4,1022,73,40,17.9,1615873981
Richards Bay,ZA,-28.783,32.0377,75.99,1013,74,0,4.83,1615874510
Punta Arenas,CL,-53.15,-70.9167,37.4,1013,81,20,24.16,1615873948
Jīran,IN,24.3167,74.8833,92.59,1012,12,15,5.68,1615873982
Muros,ES,42.7762,-9.0603,48.99,1028,75,12,5.01,1615873982
Coquimbo,CL,-29.9533,-71.3436,60.8,1016,82,20,1.14,1615873982
Longyearbyen,SJ,78.2186,15.6401,-5.8,1020,84,40,4.61,1615874511
Port Alfred,ZA,-33.5906,26.891,66.99,1015,90,66,9.57,1615873983
Mehamn,NO,71.0357,27.8492,26.6,1010,63,75,17.27,1615873983
Puerto Ayora,EC,-0.7393,-90.3518,73.0,1011,98,58,3.6,1615874511
Road Town,VG,18.4167,-64.6167,75.0,1018,84,10,8.01,1615873845
Port Elizabeth,ZA,-33.918,25.5701,66.2,1016,77,0,2.3,1615873896
Castro,BR,-24.7911,-50.0119,61.34,1014,95,41,4.47,1615873983
Hamilton,US,39.1834,-84.5333,39.0,1014,87,90,8.05,1615873874
Thanh Hoa,VN,19.8,105.7667,79.14,1011,72,98,10.02,1615873984
Barrow,US,71.2906,-156.7887,-4.0,1011,77,1,14.97,1615873984
Saint Paul Harbor,US,57.79,-152.4072,28.4,1002,64,20,4.61,1615873761
Butaritari,KI,3.0707,172.7902,80.92,1008,80,96,13.73,1615873985
Ýpsonas,CY,34.6884,32.9574,57.2,1009,88,75,16.11,1615873985
Honolulu,US,21.3069,-157.8583,69.8,1017,88,75,6.91,1615873911
George,ZA,-33.963,22.4617,60.8,1016,94,90,10.36,1615873985
Cape Town,ZA,-33.9258,18.4232,64.99,1015,72,20,12.66,1615873854
Kaeo,NZ,-35.1,173.7833,72.0,1013,77,100,3.0,1615873986
Margate,GB,51.3813,1.3862,43.0,1008,81,97,1.99,1615873986
Pisco,PE,-13.7,-76.2167,70.0,1012,78,0,6.91,1615874512
Charter Township of Clinton,US,42.587,-82.9199,33.01,1018,55,90,12.66,1615873986
New Norfolk,AU,-42.7826,147.0587,64.99,1029,39,20,12.66,1615873987
Kamenka,RU,51.3223,42.7678,28.99,1018,78,100,14.29,1615873987
Mobaye,CF,4.319,21.1786,68.85,1010,93,100,5.19,1615873988
Mahébourg,MU,-20.4081,57.7,84.2,1014,70,75,11.5,1615873988
San Cristobal,VE,7.7669,-72.225,66.2,1013,95,99,2.59,1615873703
Iqaluit,CA,63.7506,-68.5145,-23.01,1012,69,1,14.97,1615874513
Pevek,RU,69.7008,170.3133,-4.41,1008,77,69,6.35,1615873988
Padang,ID,-0.9492,100.3543,87.8,1008,70,40,5.75,1615874513
Aksarka,RU,66.5606,67.7975,7.09,1013,95,100,9.04,1615873989
Ankazoabo,MG,-22.2833,44.5167,79.93,1012,66,13,6.22,1615873989
Lixouri,GR,38.2019,20.4314,52.52,1008,60,4,22.68,1615873989
Kapaa,US,22.0752,-159.319,69.8,1018,94,75,21.85,1615873989
Saint George,US,37.1041,-113.5841,50.0,1004,57,90,4.61,1615873867
Ikovka,RU,55.6089,64.9375,22.71,1030,90,78,9.62,1615873990
Aksha,RU,50.2814,113.2867,25.9,1023,53,100,3.44,1615873990
Sakakah,SA,29.9697,40.2064,62.6,1013,31,0,9.22,1615873990
Tadine,NC,-21.55,167.8833,79.2,1010,75,55,8.55,1615873990
Invermere,CA,50.5167,-116.0354,36.0,1014,69,66,3.38,1615873991
Caravelas,BR,-17.7125,-39.2481,72.0,1014,85,6,3.69,1615874514
Slave Lake,CA,55.2834,-114.769,24.8,1015,58,1,4.61,1615873991
Severo-Kuril'sk,RU,50.6789,156.125,35.78,1001,98,100,26.53,1615873991
Gornopravdinsk,RU,60.05,69.9,23.49,1022,97,100,8.28,1615873992
Bugene,TZ,-1.5911,31.1403,67.86,1012,68,80,3.58,1615873992
East London,ZA,-33.0153,27.9116,66.2,1016,82,40,10.36,1615873992
Sayyan,YE,15.1718,44.3244,62.28,1015,18,49,5.59,1615873993
Jurm,AF,36.8648,70.8342,46.49,1022,79,100,3.49,1615874515
Yeniseysk,RU,58.4497,92.1703,15.22,1030,93,100,8.21,1615873993
Shitanjing,CN,39.2342,106.3439,43.34,1016,16,17,7.67,1615873993
Ranong,TH,9.9658,98.6348,91.4,1010,52,20,4.61,1615873994
Kulu,TR,39.0951,33.0799,40.87,1003,64,91,18.45,1615873994
Khani,GE,41.9563,42.9566,51.8,1007,46,0,34.52,1615873994
Walvis Bay,NA,-22.9575,14.5053,57.99,1012,94,9,6.91,1615873995
Carnarvon,AU,-24.8667,113.6333,89.6,1012,62,0,16.11,1615873995
Miran Shah,PK,33.0086,70.0697,69.82,1017,30,40,4.16,1615873995
Faya,SA,18.3851,42.4509,66.2,1023,39,0,4.61,1615874515
Luanda,AO,-8.8368,13.2343,78.8,1008,83,75,5.75,1615873821
Beringovskiy,RU,63.05,179.3167,0.55,1017,70,35,2.84,1615873996
Davila,PH,18.4726,120.5763,84.2,1010,79,75,9.22,1615873996
Nioro,GM,13.35,-15.75,67.6,1009,28,0,6.8,1615874516
Norman Wells,CA,65.282,-126.8329,-16.6,1009,76,20,1.88,1615873996
Loandjili,CG,-4.7561,11.8578,77.0,1009,94,40,3.44,1615873997
Merritt Island,US,28.5392,-80.672,72.0,1019,83,1,6.91,1615873997
Kathu,TH,7.9178,98.3332,91.4,1009,46,20,10.36,1615873997
Ancud,CL,-41.8697,-73.8203,51.01,1018,81,20,10.36,1615873997
Grants,US,35.1473,-107.8514,30.2,1012,51,1,6.91,1615873998
Thunder Bay,CA,48.4001,-89.3168,23.0,1020,86,1,2.3,1615873998
Buala,SB,-8.145,159.5921,83.23,1008,68,74,2.39,1615873998
Itaueira,BR,-7.6033,-43.0256,70.75,1010,88,6,1.23,1615873999
Ketchikan,US,55.3422,-131.6461,39.2,1008,93,90,27.63,1615874482
Kargat,RU,55.1956,80.2811,8.73,1033,94,100,10.22,1615873999
Hasaki,JP,35.7333,140.8333,70.0,1005,40,75,16.11,1615873708
Mikuni,JP,36.2171,136.1519,52.59,1010,89,100,14.43,1615874000
Fare,PF,-16.7,-151.0167,82.31,1013,74,100,12.39,1615874000
Eilat,IL,29.5581,34.9482,57.2,1010,72,0,8.05,1615874001
Srednekolymsk,RU,67.45,153.6833,0.81,1012,92,98,11.39,1615874517
Bolshaya Sosnova,RU,57.6713,54.6029,21.54,1024,91,100,17.69,1615874001
High Level,CA,58.5169,-117.136,10.4,1008,72,20,2.3,1615874517
Lata,PT,40.1629,-8.3327,50.0,1024,65,63,7.0,1615874001
Dauriya,RU,49.9333,116.8667,22.01,1027,45,100,2.8,1615874001
Ribeira Grande,PT,38.5167,-28.7,60.93,1022,87,4,14.97,1615874002
Ilhabela,BR,-23.7781,-45.3581,74.39,1013,85,10,2.62,1615874002
Grants Pass,US,42.439,-123.3284,35.6,1024,80,75,1.54,1615874002
Yellowknife,CA,62.456,-114.3525,-9.0,1008,77,20,8.05,1615873772
Hailar,CN,49.2,119.7,22.41,1025,77,50,11.54,1615874003
Mandalgovi,MN,45.7625,106.2708,37.15,1019,22,0,13.51,1615874518
Moose Factory,CA,51.2585,-80.6094,17.6,1016,41,1,12.66,1615874003
Chornukhy,UA,50.2673,32.942,35.65,1008,92,100,14.2,1615874004
Marzuq,YE,14.4,46.4667,77.31,1016,7,2,4.09,1615874004
Urucará,BR,-2.5364,-57.76,73.44,1009,92,54,0.92,1615874004
Vila Franca do Campo,PT,37.7167,-25.4333,60.8,1024,94,75,6.91,1615874518
San Quintín,MX,30.4833,-115.95,52.79,1015,64,61,18.81,1615874519
Maicao,CO,11.3832,-72.2432,77.32,1013,79,82,12.73,1615874005
Talnakh,RU,69.4865,88.3972,-24.39,1020,83,22,5.21,1615874005
Muravlenko,RU,63.7898,74.523,20.46,1016,93,97,9.91,1615874006
Alépé,CI,5.5004,-3.6631,78.8,1008,100,20,5.75,1615874006
Stornoway,GB,58.2093,-6.3865,46.4,1023,81,90,21.85,1615874006
Itarema,BR,-2.9248,-39.9167,75.7,1010,86,4,1.41,1615874006
Esperance,AU,-33.8667,121.9,84.2,1018,26,0,6.91,1615874519
Tomatlán,MX,19.9333,-105.25,60.67,1014,87,0,2.28,1615874007
Beitbridge,ZW,-22.2167,30.0,74.68,1013,53,0,4.05,1615874007
Tampere,FI,61.4991,23.7871,33.01,1009,93,90,6.91,1615873803
Aswān,EG,24.0934,32.907,77.04,1010,24,0,11.95,1615874008
Launceston,AU,-41.45,147.1667,72.0,1027,37,40,5.75,1615874008
Moïssala,TD,8.3404,17.7663,78.08,1007,57,100,6.17,1615874008
Tautira,PF,-17.7333,-149.15,84.2,1012,65,20,4.61,1615874008
Tateyama,JP,34.9833,139.8667,66.2,1007,59,40,23.02,1615874009
Dikson,RU,73.5069,80.5464,-25.73,1020,98,100,3.2,1615874009
Lüderitz,NA,-26.6481,15.1594,62.13,1011,74,0,18.39,1615874010
Storm Lake,US,42.6411,-95.2097,30.2,1015,100,90,8.05,1615874010
Gorontalo,ID,0.5412,123.0595,87.01,1008,70,95,2.84,1615874182
Anadyr,RU,64.75,177.4833,-2.0,1015,71,0,6.71,1615874011
Teya,RU,60.3778,92.6267,19.45,1024,86,100,12.28,1615874011
Fremont,US,37.5483,-121.9886,46.4,1017,66,1,5.75,1615873836
Inongo,CD,-1.95,18.2667,74.7,1009,88,100,5.66,1615874011
Ishurdi,BD,24.1333,89.0833,94.59,1010,17,0,7.09,1615874012
Riyadh,SA,24.6877,46.7219,75.2,1015,13,20,12.66,1615873845
Smiths Falls,CA,44.9001,-76.0161,15.01,1008,80,0,3.62,1615874012
Ampanihy,MG,-24.7,44.75,83.07,1013,52,1,4.45,1615874013
Miraflores,MX,19.2167,-98.8083,66.2,1025,37,1,1.7,1615874013
Mayumba,GA,-3.432,10.6554,77.13,1011,88,100,4.41,1615874013
Bitung,ID,1.4451,125.1824,87.8,1008,62,40,11.5,1615874014
Morant Bay,JM,17.8815,-76.4093,77.0,1015,65,20,10.36,1615874014
Ekhabi,RU,53.5102,142.9671,27.61,1010,90,64,20.31,1615874014
La Ronge,CA,55.1001,-105.2842,19.4,1020,45,52,4.61,1615874014
Port Hardy,CA,50.6996,-127.4199,42.8,1024,100,40,3.44,1615874014
Manta,EC,-0.95,-80.7333,78.8,1012,89,90,2.3,1615874015
Lovington,US,32.944,-103.3485,57.0,1012,23,59,5.01,1615874015
Podgorica,ME,42.4411,19.2636,42.8,1006,61,40,4.61,1615874015
Ashland,US,40.8167,-82.2665,39.2,1015,52,90,16.11,1615873943
Souillac,MU,-20.5167,57.5167,84.2,1014,70,75,11.5,1615874016
Chokurdakh,RU,70.6333,147.9167,-15.65,1014,88,100,12.93,1615874016
Novaya Igirma,RU,57.1334,103.9112,21.85,1028,85,100,8.46,1615874017
Kisanga,TZ,-7.4362,37.7034,80.04,1012,83,15,2.06,1615874017
La Maná,EC,-0.9333,-79.2167,50.0,1030,87,90,1.14,1615874018
Faanui,PF,-16.4833,-151.75,82.45,1013,76,100,12.57,1615874018
Yar-Sale,RU,66.8333,70.8333,5.72,1015,95,99,10.94,1615874018
Pyaozerskiy,RU,65.8333,31.1667,26.62,1007,96,99,1.77,1615874019
Sterling,US,39.0062,-77.4286,41.0,1026,36,90,4.61,1615874308
Belgrade,RS,44.804,20.4651,39.0,1006,81,0,12.66,1615873936
Los Andes,CL,-32.8337,-70.5983,57.99,931,99,58,1.25,1615874000
Chapel Hill,US,35.9132,-79.0558,46.0,1026,50,100,7.05,1615874019
Mapiripán,CO,2.8892,-72.1256,72.82,1009,97,100,3.91,1615874019
Pemba,MZ,-12.974,40.5178,77.0,1012,83,40,6.91,1615874020
Ngama,TD,11.7833,17.1667,83.26,1005,20,100,4.0,1615874020
Ixtapa,MX,20.7,-105.2,66.99,1014,88,1,2.57,1615874523
Cohoes,US,42.7742,-73.7001,19.99,1028,49,40,4.61,1615874021
Quatre Cocos,MU,-20.2078,57.7625,84.2,1014,70,75,11.5,1615874021
Morón,AR,-34.6534,-58.6198,75.0,1012,64,100,1.99,1615874021
Mirny,RU,62.5353,113.9611,17.35,1016,84,100,11.77,1615874021
Dunedin,NZ,-45.8742,170.5036,57.99,998,54,71,5.99,1615874022
Airai,TL,-8.9266,125.4092,67.41,1008,88,97,1.03,1615874022
Taoudenni,ML,22.6783,-3.9836,66.0,1012,23,57,12.12,1615874523
Nikolskoye,RU,59.7035,30.7861,34.0,1010,86,90,11.18,1615874023
Shingū,JP,33.7333,135.9833,64.4,1013,77,75,4.61,1615874023
Khandyga,RU,62.6667,135.6,3.83,1029,86,99,6.44,1615874023
La Argentina,CO,2.1961,-75.98,60.57,1014,94,100,1.88,1615874024
Karlovac,HR,45.4872,15.5478,37.0,1012,86,4,2.26,1615874024
Tuatapere,NZ,-46.1333,167.6833,55.0,1017,66,79,18.99,1615874024
Henties Bay,NA,-22.116,14.2845,57.99,1012,93,62,1.99,1615874025
Bilibino,RU,68.0546,166.4372,-5.04,1008,87,100,1.28,1615874524
Lusambo,CD,-4.9667,23.45,70.36,1010,91,100,0.85,1615874025
Half Moon Bay,US,37.4636,-122.4286,48.2,1018,76,1,9.22,1615874481
Devrek,TR,41.2192,31.9558,51.13,1000,78,100,2.68,1615874025
Cherskiy,RU,68.75,161.3,1.24,1008,96,100,3.69,1615874026
Lagoa,PT,39.05,-27.9833,59.94,1023,91,0,14.05,1615874026
Pangnirtung,CA,66.1451,-65.7125,-24.7,1007,93,52,1.23,1615874498
Tabou,CI,4.423,-7.3528,77.85,1009,88,86,5.55,1615874026
Ugoofaaru,MV,5.6667,73.0,83.93,1011,69,4,14.43,1615874525
Wanaka,NZ,-44.7,169.15,57.61,1015,52,7,5.59,1615874027
Polunochnoye,RU,60.8697,60.4153,27.19,1017,85,91,6.08,1615874027
Biasca,CH,46.3597,8.9697,42.8,1016,52,13,4.61,1615874027
Kruisfontein,ZA,-34.0033,24.7314,62.01,1016,96,100,6.11,1615874028
Umluj,SA,25.0213,37.2685,77.43,1010,64,33,5.99,1615874028
Banjar,ID,-8.19,114.9675,87.8,1008,70,20,5.75,1615874028
Robe,AU,-37.1833,139.75,60.75,1023,75,21,20.11,1615874029
Arman',RU,59.7,150.1667,23.29,1010,83,87,3.06,1615874029
Vysokogornyy,RU,50.1167,139.15,40.33,1003,69,100,2.91,1615874030
Vardø,NO,70.3705,31.1107,24.8,1009,74,75,12.66,1615874030
Rio Grande,BR,-32.035,-52.0986,70.45,1014,78,11,11.18,1615873899
Qaqortoq,GL,60.7167,-46.0333,30.2,998,86,75,24.16,1615874031
Berlevåg,NO,70.8578,29.0864,26.6,1010,63,75,17.27,1615874031
Ubari,LY,26.5921,12.7805,51.75,1019,43,12,8.05,1615874031
Leeuwarden,NL,53.2014,5.8086,42.01,1022,87,90,10.36,1615874031
Puerto Rico,AR,-26.796,-55.024,71.44,1009,72,0,2.24,1615874032
Varhaug,NO,58.6147,5.6457,32.0,1016,89,40,20.58,1615874032
Lufilufi,WS,-13.8745,-171.5986,87.8,1009,70,40,11.5,1615874032
Tual,ID,-5.6667,132.75,82.35,1007,73,86,7.0,1615874033
Nouadhibou,MR,20.931,-17.0347,64.04,1012,77,0,19.06,1615874526
Kantābānji,IN,20.4833,82.9167,96.96,1012,12,0,3.58,1615874033
Narón,ES,43.5167,-8.1528,50.0,1029,100,38,3.44,1615874034
Pijijiapan,MX,15.7011,-93.23,74.17,1013,80,6,2.46,1615874034
Kamaishi,JP,39.2667,141.8833,53.6,1004,47,75,5.75,1615874526
Tiksi,RU,71.6872,128.8694,-14.26,1015,86,99,4.79,1615874034
Iwaki,JP,37.05,140.8833,66.0,1004,45,62,4.0,1615874035
Makakilo City,US,21.3469,-158.0858,69.8,1019,100,75,6.91,1615874035
Gemena,CD,3.25,19.7667,69.93,1012,97,100,4.05,1615873949
Puerto Cabezas,NI,14.0351,-83.3888,73.92,1014,85,24,4.81,1615874036
Northam,GB,51.0333,-4.2167,48.99,1029,97,98,5.01,1615874036
Camacha,PT,33.0833,-16.3333,59.0,1021,77,40,12.66,1615874527
Saint-Augustin,CA,51.226,-58.6502,2.93,1008,89,95,12.35,1615874527
Yangi Marg`ilon,UZ,40.4272,71.7189,37.4,1026,70,29,6.91,1615874528
Boa Vista,BR,2.8197,-60.6733,78.8,1010,78,0,5.75,1615874036
Saint Anthony,US,45.0205,-93.218,30.2,1016,80,90,6.91,1615874528
Diamantino,BR,-14.4086,-56.4461,72.77,1010,95,100,2.04,1615874528
Brae,GB,60.3964,-1.353,41.0,1019,87,75,11.5,1615874037
Jacareacanga,BR,-6.2222,-57.7528,72.59,1010,98,98,0.65,1615874037
Normandin,CA,48.8333,-72.5321,3.2,1025,71,69,2.3,1615874037
Gilgit,PK,35.9221,74.3087,50.22,1023,68,57,1.14,1615874038
Kloulklubed,PW,7.0419,134.2556,80.6,1009,94,75,5.75,1615874038
Lebu,CL,-37.6167,-73.65,52.5,1018,89,98,4.14,1615874038
Okhotsk,RU,59.3833,143.3,16.61,1015,59,94,20.69,1615874529
Kawalu,ID,-7.3817,108.2082,88.09,1008,55,71,3.15,1615874039
Bethel,US,41.3712,-73.414,24.8,1027,36,1,4.61,1615874039
Maïné Soroa,NE,13.2114,12.0241,78.3,1007,17,84,7.83,1615874040
Soyo,AO,-6.1349,12.3689,78.55,1010,83,100,7.16,1615874040
Taltal,CL,-25.4,-70.4833,63.09,1015,86,0,1.21,1615874529
Zapolyarnyy,RU,69.4154,30.8136,23.0,1008,93,40,3.44,1615874040
Homer,US,59.6425,-151.5483,24.01,1001,79,1,2.46,1615874040
Paita,PE,-5.0892,-81.1144,76.62,1013,77,99,5.23,1615874041
Indianola,US,41.3581,-93.5574,34.0,1010,96,97,7.34,1615874041
Makat,KZ,47.6469,53.3463,30.97,1032,50,0,19.37,1615874041
Butembo,CD,0.15,29.2833,67.95,1012,63,100,1.61,1615874042
Maceió,BR,-9.6658,-35.7353,73.4,1012,94,40,3.44,1615873889
Bandarbeyla,SO,9.4942,50.8122,80.51,1013,73,91,17.0,1615874530
Les Cayes,HT,18.2,-73.75,71.01,1016,76,1,3.76,1615874042
Provideniya,RU,64.3833,-173.3,12.2,1010,73,75,6.71,1615874043
Ndélé,CF,8.4109,20.6473,75.49,1009,75,96,9.51,1615874043
Inhambane,MZ,-23.865,35.3833,80.6,1013,78,20,5.08,1615874516
Mayo,US,38.8876,-76.5119,41.0,1027,41,75,4.61,1615874043
Ericeira,PT,38.9627,-9.4156,57.99,1022,90,79,8.5,1615874044
Houston,US,29.7633,-95.3633,70.0,1012,94,90,10.36,1615874283
Sitka,US,57.0531,-135.33,37.4,996,87,90,17.27,1615874531
Saldanha,ZA,-33.0117,17.9442,63.5,1015,78,0,16.24,1615874044
Laela,TZ,-8.5667,32.05,66.9,1013,76,57,3.0,1615874044
Broome,US,42.2506,-75.833,19.0,1024,53,1,1.86,1615874045
Pacifica,US,37.6138,-122.4869,48.99,1017,66,20,4.61,1615873899
Pacific Grove,US,36.6177,-121.9166,50.0,1018,66,1,9.22,1615874045
Kawanoechō,JP,34.0167,133.5667,62.6,1011,58,75,3.44,1615874045
Benguela,AO,-12.5763,13.4055,79.18,1011,80,100,1.74,1615874046
Hancheng,CN,32.5186,112.3522,55.0,1019,50,98,15.52,1615874046
Oistins,BB,13.0667,-59.5333,77.0,1014,73,40,12.66,1615874047
Geraldton,AU,-28.7667,114.6,89.6,1012,35,25,16.11,1615874047
Laï,TD,9.3952,16.2989,82.98,1006,32,64,9.19,1615874047
Ganzhou,CN,28.8184,115.4327,64.92,1013,92,100,7.94,1615874048
Clyde River,CA,70.4692,-68.5914,-13.0,1002,77,40,9.22,1615874048
Simplício Mendes,BR,-7.8539,-41.9103,68.95,1011,91,0,1.61,1615874048
Xam Nua,LA,20.4197,104.0439,90.9,1009,27,5,2.13,1615874049
Ozernovskiy,RU,51.5,156.5167,36.12,1004,95,100,11.43,1615874049
Tucuruí,BR,-3.7661,-49.6725,72.45,1010,97,93,2.13,1615874049
Nishihara,JP,26.1842,127.7558,80.6,1016,64,75,11.5,1615874050
Charters Towers,AU,-20.1,146.2667,89.46,1010,36,15,10.87,1615874050
Moindou,NC,-21.6924,165.677,84.2,1010,65,20,11.5,1615874050
Port Macquarie,AU,-31.4333,152.9167,72.0,1019,67,97,1.99,1615874259
Tabuk,PH,17.4189,121.4443,81.81,1009,84,97,6.31,1615874051
Nome,US,64.5011,-165.4064,15.8,1007,86,90,1.66,1615874051
Morada Nova,BR,-5.1067,-38.3725,73.08,1011,95,34,1.97,1615874051
Valparaíso,CL,-33.0393,-71.6273,56.39,1017,78,0,5.99,1615874052
Cap Malheureux,MU,-19.9842,57.6142,82.99,1014,75,25,10.0,1615874052
Caucaia,BR,-3.7361,-38.6531,81.0,1010,83,40,2.3,1615874052
Flagstaff,US,35.1981,-111.6513,37.0,1008,55,90,3.44,1615874052
Luwingu,ZM,-10.2621,29.9271,65.16,1013,91,65,3.58,1615874053
San Luis,AR,-33.295,-66.3356,62.73,1007,96,89,8.43,1615873858
Arraial do Cabo,BR,-22.9661,-42.0278,76.5,1012,86,0,19.86,1615874053
Kumul,CN,42.8,93.45,48.85,1017,21,67,8.95,1615874053
Shubarshi,KZ,48.5872,57.1869,12.67,1038,78,0,8.12,1615874053
